City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Makat,KZ,2022-05-16 15:40:05,47.6469,53.3463,66.16,47,81,9.71
68,Beidao,CN,2022-05-16 15:40:06,34.5686,105.8933,53.44,54,13,4.76
69,Ahuimanu,US,2022-05-16 15:40:06,21.4447,-157.8378,74.91,85,75,10.36
70,Faanui,PF,2022-05-16 15:40:07,-16.4833,-151.75,80.33,70,95,9.48
71,Dudinka,RU,2022-05-16 15:40:07,69.4058,86.1778,47.62,99,100,5.08
72,Nieuw Amsterdam,SR,2022-05-16 15:40:07,5.8833,-55.0833,88.02,74,40,9.22
73,Kalisz,PL,2022-05-16 15:40:08,51.7611,18.091,66.38,52,100,4.61
74,Nouadhibou,MR,2022-05-16 15:40:08,20.931,-17.0347,80.58,54,100,18.41
75,Jaru,BR,2022-05-16 15:40:09,-10.4389,-62.4664,75.6,88,99,8.72
76,Yellowknife,CA,2022-05-16 15:38:31,62.456,-114.3525,43.32,56,75,10.36
77,Galveston,US,2022-05-16 15:40:09,29.3669,-94.9669,86.04,70,0,9.22
78,Tuktoyaktuk,CA,2022-05-16 15:40:10,69.4541,-133.0374,30.2,100,100,9.22
79,Monrovia,LR,2022-05-16 15:40:10,6.3005,-10.7969,87.57,77,100,9.44
80,Nantucket,US,2022-05-16 15:36:21,41.2835,-70.0995,62.74,88,100,8.05
81,Aleksinac,RS,2022-05-16 15:40:11,43.5417,21.7078,82.69,51,2,5.46
82,Port Alfred,ZA,2022-05-16 15:40:11,-33.5906,26.891,72.18,68,0,1.01
83,Port Elizabeth,ZA,2022-05-16 15:40:12,-33.918,25.5701,71.31,72,0,4.61
84,Kutum,SD,2022-05-16 15:40:12,14.2,24.6667,90.36,15,30,13.13
85,Milton,US,2022-05-16 15:40:13,34.1322,-84.3007,83.05,63,78,1.99
86,Vao,NC,2022-05-16 15:40:13,-22.6667,167.4833,74.12,76,16,17.11
87,Thinadhoo,MV,2022-05-16 15:40:13,0.5333,72.9333,84.52,74,93,16.49
88,Castro,BR,2022-05-16 15:41:14,-24.7911,-50.0119,58.64,67,92,7.36
