City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ambilobe,MG,-13.2,49.05,71.6,79,100,4.52,overcast clouds
79,Castro,BR,-24.7911,-50.0119,57.34,52,1,6.08,clear sky
80,Lokot,RU,52.565,34.5776,48.45,74,70,6.58,broken clouds
81,East London,ZA,-33.0153,27.9116,65.34,94,75,11.5,broken clouds
82,Hasaki,JP,35.7333,140.8333,61.29,80,100,14.5,overcast clouds
83,Port Alfred,ZA,-33.5906,26.891,59.18,95,95,5.01,moderate rain
84,Kutum,SD,14.2,24.6667,87.51,12,26,10.13,scattered clouds
85,Solnechnyy,RU,50.7214,136.6319,32.72,97,55,4.7,broken clouds
86,Imbituba,BR,-28.24,-48.6703,67.08,61,29,11.99,scattered clouds
87,Sao Filipe,CV,14.8961,-24.4956,77.16,65,11,9.46,few clouds
88,Mount Gambier,AU,-37.8333,140.7667,47.73,79,33,5.17,scattered clouds
89,Katsuura,JP,35.1333,140.3,65.08,85,100,13.22,overcast clouds
90,Nakamura,JP,32.9833,132.9333,60.84,67,100,2.01,overcast clouds
91,Arlit,NE,18.7369,7.3853,90.77,25,50,21.21,scattered clouds
92,Vaini,TO,-21.2,-175.2,71.76,88,20,6.91,few clouds
93,Thompson,CA,55.7435,-97.8558,39.36,52,75,13.8,broken clouds
94,Mahebourg,MU,-20.4081,57.7,73.69,78,40,9.22,scattered clouds
95,Krasnoarmeysk,RU,51.0239,45.6969,49.51,67,85,5.28,overcast clouds
96,Namibe,AO,-15.1961,12.1522,69.13,81,12,17.47,few clouds
97,Taua,BR,-5.9667,-40.3,90.43,38,61,6.93,broken clouds
98,Anadyr,RU,64.75,177.4833,39.7,81,82,4.47,fog
99,Klaksvik,FO,62.2266,-6.589,49.12,98,99,21.88,light rain
100,Riyadh,SA,24.6877,46.7219,98.74,9,0,7.78,clear sky
101,La Ronge,CA,55.1001,-105.2842,43.05,49,75,17.27,broken clouds
102,Mehran,IR,33.1222,46.1646,89.64,13,8,6.51,clear sky
103,Laguna,US,38.421,-121.4238,86.29,28,0,14.97,clear sky
104,Sumkino,RU,58.1108,68.3244,48.04,82,95,14.09,overcast clouds
